no;htobit;htobit_3;htobit_1;htobit_2;htobit_4;htobit_5
155;0.001779173;809364.6692;4;2;0;0
156;0;602519.939;0;1;0;0
157;0.00275173;1303906.605;4;3;0;0
158;0.004996954;1503315.608;1;2;2;0
159;0;1213859.476;4;2;0;0
160;0.039390072;1401673.253;4;1;0;0
161;0.016648198;822071.1079;4;2;0;0
162;0.005248904;955628.4209;4;2;0;0
163;0.013911278;929892.7672;4;1;0;0
164;0.013150345;1519580.538;1;2;2;0
165;0;703841.0195;3;1;0;0
166;0.010328872;2031973.432;2;2;3;0
167;0.019037882;956513.7597;4;2;0;0
168;0.006065402;997130.8949;2;3;2;0
169;0.007567984;2662268.611;1;2;1;0
170;0.002437035;1565837.331;1;2;2;0
171;0.004387777;1219752.16;1;2;4;0
172;0.005141573;1587062.289;2;3;1;0
173;0.020994041;1486135.893;1;2;2;0
174;0.002992175;1323451.52;3;4;0;0
175;0;1039144.71;2;4;4;0
176;0.033938721;1043409.808;2;2;3;0
177;0.003179281;1435230.489;4;2;0;0
178;0;417290.0837;4;1;0;0
179;0.01465773;1079020.636;4;2;0;0
180;0.019639082;1601246.634;4;2;0;0
181;0.003309425;902876.2315;4;3;0;0
182;0.050209858;1462183.239;4;2;0;0
183;0.037919838;1097472.864;3;3;2;0
184;0.015339365;480072.1778;4;2;0;0
185;0.05426082;1850101.105;2;3;1;0
186;0.01163938;2276409.914;4;2;0;0
187;0.023625772;1121995.371;4;3;0;0
188;0.004078381;538449.1414;4;2;0;0
189;0.071384266;1721724.784;1;2;2;0
190;0.013381759;781960.1798;2;1;0;0
191;0.010446697;1304910.497;3;4;0;0
192;0.018829318;1315129.987;3;3;0;0
193;0;1541086.488;2;2;0;0
194;0.004148777;1154075.158;1;2;2;0
195;0.001941495;1001290.391;1;2;0;0
196;0.002582451;776006.6365;1;2;0;0
197;0;509569.8085;4;1;0;0
198;0.016240863;1284906.411;4;2;0;0
199;0.003643397;978208.3979;4;2;0;0
200;0;1017729.842;1;2;2;1
201;0.009477485;877448.414;1;2;1;0
202;0.020837277;1151206.134;1;2;0;0
203;0.023609962;1155275.449;3;3;0;0
204;0.019779004;1155771.346;1;2;2;0
205;0.009394657;964378.0848;3;4;0;0
206;0.002526067;1401388.556;1;2;2;0
207;0.030116078;1444543.385;3;2;0;0
208;0.0160111;674532.3158;4;1;0;0
209;0.009671299;1239544.293;2;4;0;0
210;0.038898576;882603.1217;1;2;2;0
211;0.000609583;1082706.744;1;2;2;0
212;0;1361949.647;2;4;0;0
213;0;886300.0838;3;2;0;0
214;0;1165338.396;2;2;0;0
215;0.009456697;1115399.98;0;2;0;1
216;0.032646343;1442427.528;1;2;1;0
217;0.02149407;1477803.003;2;4;1;0
218;0.034889303;1212406.367;1;2;2;0
219;0.00356096;909867.3304;3;2;0;0
220;0.003662456;648745.2125;4;1;0;0
221;0;896379.846;3;3;0;0
222;0.006375472;739709.8476;4;2;0;0
223;0.007006748;1556784.345;1;2;0;0
224;0.018847927;759553.0006;1;2;0;0
225;0.077423431;1158719.154;3;1;0;0
226;0.055638641;1772580.731;3;4;1;0
227;0.047160111;1521116;1;2;2;0
228;0;961413.8498;1;2;2;0
229;0;1061576.977;1;2;1;1
230;0.021543523;1303965.051;1;2;1;0
231;0.00924074;1634933.508;3;3;0;0
232;0;972549.1155;2;3;0;0
233;0;677260.8413;3;2;1;0
234;0.008045818;924704.3532;1;2;1;0
235;0.027320197;899115.2712;0;2;0;0
236;0.005938857;266717.9546;4;1;0;0
237;0;507726.9729;4;2;0;0
238;0;1053969.866;1;2;3;0
239;0.014211155;1590862.792;3;2;0;0
240;0.103895009;666441.7534;4;2;0;0
241;0.009579233;1761519.179;3;3;0;0
242;0.012159203;1132969.296;3;3;1;0
243;0;924186.8422;4;2;0;0
244;0.003457429;1159243.061;2;2;1;0
245;0.011055086;1321021.606;2;3;2;0
246;0;729385.0674;4;2;0;0
247;0.0180835;1228301.599;3;2;0;0
248;0;742869.1969;4;3;0;0
249;0;216234.0673;4;1;0;0
250;0.009262844;477823.0954;4;1;0;0
251;0.017321626;648437.7956;2;1;0;0
252;0.01173795;3038351.095;1;2;2;0
253;0.003130586;517474.9239;4;2;0;0
254;0.001724716;1071480.615;0;2;1;2
255;0.031958375;1366997.242;3;4;0;0
256;0.017623208;1743156.644;1;2;1;0
257;0;175522.9853;2;1;0;0
258;0.005486139;1065229.908;4;2;0;0
259;0;1746719.487;4;2;0;0
260;0.047601126;677631.0352;4;2;0;0
261;0.029106386;743341.8869;4;2;0;0
262;0.011491004;820816.1178;1;2;1;0
263;0;839007.2227;1;2;1;0
264;0.065734342;403077.1411;1;1;0;0
265;0.002242137;1279136.824;2;1;0;0
266;0.016869102;403340.9287;4;1;0;0
267;0;302698.9084;4;1;0;0
268;0.002522089;366363.1693;4;1;0;0
269;0.007907536;689215.852;1;1;0;0
270;0.008612154;1262401.938;4;2;0;0
271;0.060724132;1207822.466;1;2;3;0
272;0.004121336;1109348.947;4;2;0;0
273;0;823073.6555;0;2;0;0
274;0.001260985;1608266.637;2;2;0;0
275;0.050857496;764960.7202;4;2;0;0
276;0.032833915;1137725.818;2;2;1;0
277;0.002891227;1141383.863;0;2;0;0
278;0.004395264;827253.8584;2;3;2;0
279;0.003951008;1108577.964;3;2;0;0
280;0.031444691;1583128.939;2;2;2;0
281;0.062942468;1222830.498;4;2;0;0
282;0.001734542;1124215.713;1;2;2;0
283;0.015392792;1474975.75;3;2;0;0
284;0.015916081;1464368.574;1;2;3;0
285;0.021317344;1218163.039;1;2;2;0
286;0;1027178.38;1;3;2;0
287;0.009079019;979401.361;3;3;0;0
288;0;1413701.759;2;3;0;0
289;0.00759174;1496889.321;3;2;0;0
290;0;1055992.143;0;2;1;0
291;0.01090923;1178084.809;2;2;0;0
292;0;1758363.767;1;2;1;1
293;0;764743.3531;4;2;0;0
294;0.016083479;1287035.436;1;2;2;0
295;0.002706684;1328562.942;1;2;1;1
296;0.015556537;1037505.89;2;2;2;0
297;0.000805344;2663457.099;2;2;1;0
298;0;801285.955;4;2;0;0
299;0;338811.1549;4;1;0;0
300;0.015486803;1262235.808;1;2;3;0
301;0;688422.9625;4;2;0;0
302;0.04053447;828036.0584;1;2;0;0
303;0.009854009;1049724.669;2;3;0;0
304;0.006503376;1254733.477;1;2;1;0
305;0.001324318;1531354.168;1;2;2;0
306;0;1302640.091;1;2;3;0
307;0;312985.0287;0;1;1;0
308;0.01430581;913474.6207;2;3;0;0
309;0.01996801;1321713.431;1;2;0;0
310;0.001667135;1220056.969;2;2;2;0
311;0;1175825.355;4;3;0;0
312;0;1497016.378;2;2;2;0
313;0.006419323;1727285.226;1;2;2;0
314;0;997792.016;1;2;3;0
315;0.011345906;792180.3241;4;3;0;0
316;0.093925223;706775.0454;4;1;0;0
317;0;849285.8576;4;3;0;0
318;0.024675215;1636702.591;4;2;0;0
319;0.002113964;789039.2299;3;2;0;0
320;0.004472225;1060545.844;1;2;2;0
321;0.009539447;345932.1037;4;1;0;0
322;0.003317054;1175742.377;2;4;0;0
323;0;795199.6814;4;3;0;0
324;0.027021836;1322486.334;2;3;0;0
325;0;754762.7245;1;1;2;0
326;0.005123911;896970.7451;2;5;0;0
327;0;865909.3384;2;1;1;0
328;0.029329069;2007700.837;4;7;0;0
329;0.005688879;2546020.123;1;2;3;0
330;0;810732.8066;4;3;0;0
331;0.003873049;1735066.272;1;2;0;0
332;0;747337.3473;2;2;1;0
333;0;420121.9737;4;1;0;0
334;0;1278335.614;1;2;2;0
335;0;748006.1745;3;4;0;0
336;0.012515273;1452625.008;2;2;3;1
337;0.011943283;1520184.968;4;3;0;0
338;0.040065005;1634868.023;2;3;0;0
339;0;787134.7313;3;2;0;0
340;0;1251497.245;0;2;0;0
341;0.060991481;650058.1656;3;2;0;0
342;0.009862083;790908.3591;4;2;0;0
343;0.010254153;1049720.664;2;2;1;0
344;0;759120.677;4;1;0;0
345;0;1727977.217;1;3;0;0
346;0.04224937;1892761.587;2;3;1;0
347;0.000566122;1653352.34;1;2;2;0
348;0.007568363;1331860.002;1;2;2;1
349;0.011563417;1940256.254;1;2;4;0
350;0;370428.0094;4;1;0;0
351;0.003716751;1236564.206;3;2;0;0
352;0;1493215.055;3;5;0;0
353;0.004680153;833305.6851;4;2;0;0
354;0;1350186.344;2;3;1;0
355;0.00553465;1543728.322;2;2;2;0
356;0;562371.9309;2;1;0;0
357;0.022396779;2961272.767;4;2;0;0
358;0.036401495;1277420.386;2;2;1;0
359;0.029830871;1420809.811;3;2;0;0
360;0.075174868;1088981.073;4;2;0;0
361;0.030106252;1382736.417;4;2;0;0
362;0.046488363;1473401.147;4;2;0;0
363;0.021714561;748529.9598;3;2;0;0
364;0.02117292;827661.0469;4;2;0;0
365;0.015645277;2044386.244;4;3;0;0
366;0.14580816;400635.9082;4;2;0;0
367;0.014991634;1053053.573;1;2;0;0
368;0.013130337;1194638.09;4;2;0;0
369;0.042707745;1520099.435;4;2;0;0
370;0;1304501.134;0;2;0;0
371;0.015880486;890337.6743;1;2;1;0
372;0.029707391;880184.8241;3;3;0;0
373;0.017149016;1388651.445;3;2;0;0
374;0;772396.9166;4;2;0;0
375;0.001259232;1000609.776;3;2;0;0
376;0.023320047;993480.2859;4;1;0;0
377;0.013844404;778365.0764;4;2;0;0
378;0;595176.7464;4;2;0;0
379;0.007555321;2333190.922;3;3;0;0
380;0;456707.0377;4;1;0;0
381;0.022550937;934417.6282;4;2;0;0
382;0.026946163;1328872.13;4;2;0;0
383;0.021010764;1358160.967;1;2;1;0
384;0.007732664;1030433.82;4;2;0;0
385;0.016989011;1904996.066;1;2;3;0
386;0.009194002;991516.2573;1;2;2;0
387;0.027355678;1850475.194;1;2;2;0
388;0.001159292;1904609.138;2;3;0;0
389;0.0318067;1335944.739;1;2;1;0
390;0.008308488;908949.7487;0;2;0;0
391;0.005356365;1384520.422;3;5;0;0
392;0.034105986;2228933.902;3;3;0;0
393;0.009519202;1118160.575;4;2;0;0
394;0.019388802;589825.1664;4;1;0;0
395;0.019772328;733600.6886;4;1;0;0
396;0.016787281;1383190.117;4;3;0;0
397;0.012080718;1578383.249;1;2;2;0
398;0.005369623;1165445.091;1;2;1;0
399;0.002787241;555388.2592;4;2;0;0
400;0.017793991;1166686.135;3;4;0;0
401;0.013800875;560834.2632;4;1;0;0
402;0.003037378;1355115.385;1;2;2;0
403;0.009035443;1081075.514;1;2;2;0
404;0.001501113;951293.8363;1;2;2;0
405;0;848527.2808;0;2;1;1
406;0.00663002;1725485.701;2;4;0;0
407;0.018345635;1461165.647;1;2;0;1
408;0.006337456;443080.1028;2;1;0;0
409;0.006041998;587884.9233;2;2;0;0
410;0.023094032;827702.8819;4;2;0;0
411;0.002089745;1435582.299;2;1;2;0
412;0.002126766;2279516.496;2;4;3;0
413;0.011180075;1425392.988;2;2;0;0
414;0.020962004;738479.1702;3;1;0;0
415;0;1009497.833;2;3;1;0
416;0.093509294;466991.2054;4;1;0;0
417;0.031285521;629045.1255;4;1;0;0
418;0.036228575;1275898.49;3;2;0;0
419;0.020605458;1498437.58;2;2;0;0
420;0;1039959.636;4;2;0;0
421;0;474096.9602;0;2;1;0
422;0;527239.0432;4;1;0;0
423;0.0302478;1504473.028;1;2;0;1
424;0.005642642;871932.0686;1;1;0;0
425;0.000936875;2612942.725;1;2;3;1
426;0.005477526;571791.0202;4;1;0;0
427;0.017925967;886311.9173;1;2;1;0
428;0.020245751;1590556.354;2;2;2;0
429;0.010475658;1384924.518;1;2;2;0
430;0;1471950.348;1;2;3;0
431;0.000854186;2341409.322;2;2;2;0
432;0.007241678;1719767.034;1;2;2;0
433;0;1501249.671;4;2;0;0
434;0.00283411;1016191.662;4;2;0;0
435;0;964696.3544;2;2;0;0
436;0.011551823;557833.7689;4;2;0;0
437;0;967484.3138;4;2;0;0
438;0.014053661;1314105.7;2;2;2;0
439;0.013127004;1440541.431;4;2;0;0
440;0.000959143;1238606.043;1;1;0;0
441;0.022498094;1359403.674;2;3;0;0
442;0.013239595;1775583.847;2;2;2;0
443;0.009788914;943925.0158;4;2;0;0
444;0.021894872;678104.2476;4;2;0;0
445;0.022203982;2135743.871;2;2;3;0
446;0.0116533;1303665.388;1;2;2;0
447;0.04553549;1365088.699;4;2;0;0
448;0.02891911;748467.1433;4;1;0;0
449;0;650012.2914;0;2;0;0
450;0.011497376;1022842.081;2;2;2;0
451;0;735222.0891;4;2;0;0
452;0.027179599;1417680.526;1;2;0;0
453;0.009673926;2170059.781;2;2;2;0
454;0.009321867;1433511.011;3;2;0;0
455;0.010785976;738736.9775;4;2;0;0
456;0.007183799;616387.2557;1;1;0;0
457;0.012623695;1400223.64;1;2;1;1
458;0;576566.9834;0;1;0;0
459;0;848563.6964;0;2;1;0
460;0;929606.3702;4;2;0;0
461;0.010338899;1067812.359;0;2;0;0
462;0.006920192;808069.736;3;3;1;0
463;0.007164708;1001575.949;2;3;1;0
464;0.004272177;1120739.873;1;2;2;0
465;0.00677825;970161.8952;2;1;2;0
466;0;502245.0628;4;2;0;0
467;0;1757621.054;2;4;1;0
468;0.01922421;1864732.551;2;2;2;0
469;0.01015913;1607617.986;2;2;3;0
470;0.072403818;1054751.152;4;1;0;0
471;0;942175.7554;0;2;0;1
472;0;810307.6718;1;2;0;0
473;0.008875843;2672420.817;4;2;0;0
474;0.011746768;549598.2233;4;1;0;0
475;0.0026637;720802.23;4;2;0;0
476;0.020168155;460527.8948;0;1;0;0
477;0;2206677.268;1;2;2;0
478;0.016190384;1451972.663;2;3;1;0
479;0.008915847;2186556.307;2;2;3;0
480;0.013619817;1376229.583;3;2;2;0
481;0.008567612;554647.2307;4;2;0;0
482;0;471743.135;4;1;0;0
483;0.003537952;898824.6382;3;2;0;0
484;0;420883.9169;4;2;0;0
485;0.004146396;546981.1648;4;1;0;0
486;0.001851601;641606.7169;1;2;1;0
487;0.01431724;817475.718;3;2;0;0
488;0.003001466;599706.9257;4;2;0;0
489;0.011094276;958331.6804;0;2;0;1
490;0.019171624;3212089.974;2;2;2;0
491;0.027985498;1335263.293;1;2;2;0
492;0.004392465;726698.7662;1;1;0;0
493;0.033604525;2449312.709;1;2;1;0
494;0.003954552;546206.0331;4;1;0;0
495;0.016274726;1249975.239;3;3;0;0
496;0.016224634;906646.0065;2;2;0;0
497;0.01706323;2448070.353;4;2;0;0
498;0.018404026;918712.1666;4;2;0;0
499;0.017698392;1589296.332;4;2;0;0
500;0.009508476;1065154.736;4;2;0;0
501;0.00286624;2069609.544;1;2;0;0
502;0.057969764;1019911.135;2;3;1;0
503;0.012085011;849813.2936;4;2;0;0
504;0;1223656.434;1;3;0;0
505;0;465235.7961;1;1;0;0
506;0.004658488;965119.6501;1;2;1;0
507;0.014552958;707485.1589;2;1;0;0
508;0;1085495.115;0;2;0;0
509;0.023989104;652046.2595;4;1;0;0
510;0.020247785;384041.983;2;1;0;0
511;0.015550682;777072.3104;4;1;0;0
512;0.018613759;982498.8218;4;2;0;0
513;0.023631852;1854022.209;2;2;1;0
514;0.088895403;968958.9324;4;2;0;0
515;0;819763.1568;4;2;0;0
516;0.019199189;3476447.615;2;4;1;0
517;0.0138482;1782470.388;1;2;2;0
518;0.038020331;1610611.934;2;3;0;0
519;0;672723.2579;4;2;0;0
520;0.003408073;827447.1691;0;2;0;0
521;0;1450047.81;4;2;0;0
522;0.005594865;1474209.327;2;2;3;0
523;0.04599788;599244.9882;4;2;0;0
524;0;858779.2092;4;2;0;0
525;0.028080409;1461161.467;0;2;0;0
526;0.006177698;675979.9698;0;2;0;0
527;0.021371264;1198806.051;2;5;0;0
528;0.018959185;1298789.711;2;2;0;0
529;0;173413.0742;4;1;0;0
530;0.00508948;506928.1775;1;1;0;0
531;0.000920074;912970.3598;2;2;1;0
532;0.010391274;1692959.203;3;5;0;0
533;0.011468584;832883.8051;4;2;0;0
534;0.031526916;1407463.907;2;3;0;0
535;0.023046773;843501.5998;2;2;0;0
536;0.007815217;813797.2642;2;4;0;0
537;0.048741601;830420.3599;4;2;0;0
538;0.02691289;1847738.327;1;2;2;0
539;0.001614855;869427.7496;2;2;2;1
540;0.018358458;1139965.33;2;3;1;0
541;0;1012513.755;4;2;0;0
542;0.002892683;1630320.137;1;2;2;0
543;0.021402182;1393129.559;4;2;0;0
544;0.015101267;414005.1964;1;1;2;0
545;0.011421718;1013857.807;4;2;0;0
546;0;1205881.975;1;2;0;0
547;0.011484034;838033.2184;0;2;1;0
548;0.001383773;1717044.988;4;3;0;0
549;0.017175414;1216390.367;4;2;0;0
550;0.032250136;1033670.003;2;2;0;0
551;0.017074108;2318774.691;2;3;1;0
552;0.003137004;1051959.487;1;2;0;0
553;0;1135675.894;2;3;0;0
554;0.010393983;1962674.365;1;2;2;0
555;0.006370311;1397734.079;1;2;1;1
556;0.001595674;541464.1235;0;1;0;0
557;0.010681987;534731.9305;2;1;0;0
558;0;1210816.423;3;3;0;0
559;0;851442.2266;1;2;4;0
560;0.017256318;1061871.626;4;2;0;0
561;0.01551266;488890.8455;4;1;0;0
562;0.019123409;988944.7735;1;2;1;1
563;0.00280871;756218.8387;4;2;0;0
564;0.002419607;719124.8407;4;2;0;0
565;0.00640056;1349882.496;1;2;2;0
566;0.021051627;628169.8749;4;2;0;0
567;0;209874.0618;4;1;0;0
568;0.002473037;727850.1136;4;1;0;0
569;0.014870317;1665868.492;3;4;1;0
570;0.005395722;3509077.442;2;5;0;0
571;0.005527951;1396720.047;2;2;0;0
572;0;391265.9967;1;1;0;0
573;0.007714697;1247488.675;1;2;4;0
574;0.020453338;891785.7036;4;3;0;0
575;0;887475.7488;4;2;0;0
576;0;1494391.776;4;1;0;0
577;0.003277872;1735271.465;2;2;2;0
578;0.009005416;571655.8012;2;2;0;0
579;0.005413671;1513390.668;1;2;2;0
580;0.017601751;1081255.953;4;2;0;0
581;0;888513.1491;3;3;0;0
582;0.002606848;727315.1346;3;2;0;0
583;0;1357276.604;1;2;2;0
584;0.0198665;1140814.715;4;2;0;0
585;0.030708089;1185616.069;2;3;1;0
586;0.012606284;799046.2642;4;2;0;0
587;0;628029.7083;1;1;0;1
588;0.029218528;822217.7267;2;3;0;0
589;0.007649556;3024229.252;2;3;1;0
590;0.002379819;781571.7482;4;2;0;0
591;0.013378059;804600.8669;2;4;0;0
592;0.00999093;2336118.77;2;3;0;0
593;0.010583182;785774.9422;4;2;0;0
594;0.044627585;336114.8791;4;1;0;0
595;0.010511294;744913.063;4;2;0;0
596;0;738906.785;1;1;0;0
597;0.000243251;1479953.814;2;4;1;0
598;0.033032142;603048.8102;4;2;0;0
599;0.009955594;1172808.303;3;2;0;0
600;0.013036961;1250905.399;2;3;0;0
601;0.034607142;1017709.46;3;2;0;0
602;0.018207213;2040510.063;1;2;3;0
603;0.013359133;1231516.606;0;2;0;0
604;0.061493043;2066249.034;4;3;0;0
605;0.00316247;1366021.142;1;2;2;0
606;0.008890091;1205387.568;2;4;0;0
607;0.041135117;466171.1324;4;2;0;0
608;0.047748066;429253.058;4;1;0;0
609;0.010628513;1495975.971;1;2;1;0
610;0;638564.9329;4;2;0;0
611;0;327354.8687;3;1;0;0
612;0.02320889;1063558.063;3;2;0;0
613;0.007824915;1512093.713;2;3;2;0
614;0.030295657;1241266.657;3;4;0;0
615;0.066311911;1168297.235;2;3;0;0
616;0.004208857;1107188.588;2;2;2;0
617;0.043816447;235527.9896;4;1;0;0
618;0.002594082;1290629.4;1;2;1;0
619;0.047119677;841346.8866;2;3;0;0
620;0.010311518;644328.0122;4;1;0;0
621;0.017348541;857708.6308;1;2;3;0
622;0.012482446;859446.9502;4;2;0;0
623;0.020777483;1292505.331;3;3;0;0
624;0.003799815;849515.1021;3;2;0;0
625;0.01068609;650190.8471;4;3;0;0
626;0.08397682;1119285.084;4;2;0;0
627;0.004882684;1377520.35;3;6;0;0
628;0.025711171;799807.8948;4;2;0;0
629;0.06641864;1534523.619;1;2;1;1
630;0.008048355;1723581.204;4;2;0;0
631;0.016540371;1003604.887;1;2;2;0
632;0.036831263;1038357.159;4;2;0;0
633;0.039838064;798833.6861;4;2;0;0
634;0.021192877;955321.3425;4;2;0;0
635;0.009850429;733369.1522;4;2;0;0
636;0.005222697;1194785.068;2;2;0;0
637;0.020130536;965101.2421;2;3;1;0
638;0.005337686;517077.8068;4;1;0;0
639;0.048164576;427284.8416;4;1;0;0
640;0.010860084;640878.9881;1;2;1;0
641;0.02954006;1256056.424;3;3;0;0
642;0.005026231;954989.7723;3;2;0;0
643;0.018470962;1390940.432;2;2;2;0
644;0.002784517;1370435.426;0;2;1;1
645;0.046258371;1204582.005;2;3;0;0
646;0.039683811;1061389.7;4;2;0;0
647;0.0118603;1325093.322;2;4;2;0
648;0.002520579;1582176.548;1;2;2;1
649;0.031581432;2518062.515;2;3;1;0
650;0.08383178;2814743.936;1;2;0;1
651;0.036530618;875429.8673;4;1;0;0
652;0.027242906;1235550.441;1;2;2;0
653;0.006604522;2183957.531;2;4;0;0
654;0.027832035;814528.6765;4;2;0;0
655;0.024087749;756234.705;2;2;2;0
656;0.045180239;1115531.89;1;2;0;0
657;0.090566799;716289.1319;4;2;0;0
658;0.019908054;2079710.021;3;3;0;0
